table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1
cuckoo,havi,,32, 32,  0, 17.311234, 20.652031, 24.040577, 25.714224, 27.368446, 29.010063, 30.672464, 32.338432, 34.046974
cuckoo,havi,,32, 32,  0, 17.301647, 20.607121, 24.010239, 25.724592, 27.349152, 29.021696, 30.662655, 32.370178, 33.995262
iceberg,havi,,64, 32, 16, 3.908096, 4.638208, 5.315072, 5.611008, 5.938800, 6.266368, 6.597264, 6.918144, 7.280752
iceberg,havi,,64, 32, 16, 3.875344, 4.555776, 5.209600, 5.549056, 5.877760, 6.212640, 6.539264, 6.857216, 7.216192
iceberg,havi,,64, 32, 16, 3.846656, 4.519488, 5.206016, 5.549120, 5.878272, 6.212624, 6.537216, 6.859776, 7.211136
iceberg,havi,,64, 32, 16, 3.847168, 4.518912, 5.206064, 5.552128, 5.876384, 6.214816, 6.541408, 6.858816, 7.212544
iceberg,havi,,64, 32, 16, 3.849408, 4.518912, 5.210624, 5.548032, 5.883904, 6.213120, 6.539904, 6.854784, 7.217152
iceberg,havi,,64, 32, 16, 3.844208, 4.521584, 5.206544, 5.550080, 5.880320, 6.213120, 6.538400, 6.856192, 7.212032
iceberg,havi,,64, 32, 16, 3.846736, 4.519424, 5.204992, 5.549072, 5.878784, 6.213632, 6.537728, 6.854784, 7.211168
iceberg,havi,,64, 32, 16, 3.848192, 4.520448, 5.208784, 5.549056, 5.878784, 6.212096, 6.538928, 6.857728, 7.213632
iceberg,havi,,64, 32, 16, 3.846160, 4.516352, 5.208064, 5.549056, 5.877792, 6.211248, 6.539776, 6.855904, 7.212192
iceberg,havi,,64, 32, 16, 3.846144, 4.521472, 5.206016, 5.550144, 5.879552, 6.211712, 6.539264, 6.859872, 7.215808
cuckoo,havi,,64, 32,  0, 20.018017, 23.859711, 27.703297, 29.631887, 31.496161, 33.364479, 35.289169, 37.167107, 39.068161
cuckoo,havi,,64, 32,  0, 20.030865, 23.826944, 27.754433, 29.669888, 31.489168, 33.387520, 35.300865, 37.151024, 39.049698
cuckoo,havi,,64, 32,  0, 20.033119, 23.857697, 27.697842, 29.626369, 31.520847, 33.416306, 35.293503, 37.161568, 39.053825
cuckoo,havi,,64, 32,  0, 20.020224, 23.836674, 27.731457, 29.778431, 31.500095, 33.433090, 35.296257, 37.175423, 39.045040
cuckoo,havi,,64, 32,  0, 20.034767, 23.852032, 27.679905, 29.604862, 31.503872, 33.403904, 35.288704, 37.175297, 39.041534
cuckoo,havi,,64, 32,  0, 20.007935, 23.819775, 27.739040, 29.644402, 31.531008, 33.408352, 35.320831, 37.198990, 39.060478
cuckoo,havi,,64, 32,  0, 20.037121, 23.838720, 27.684864, 29.609472, 31.506001, 33.416191, 35.276802, 37.175293, 39.053425
cuckoo,havi,,64, 32,  0, 20.021297, 23.835743, 27.731968, 29.642239, 31.524353, 33.410049, 35.311569, 37.185074, 39.040878
cuckoo,havi,,64, 32,  0, 20.029440, 23.859711, 27.676159, 29.626751, 31.520256, 33.389053, 35.272705, 37.156368, 39.064064
cuckoo,havi,,64, 32,  0, 20.012592, 23.857792, 27.737263, 29.659136, 31.535103, 33.411087, 35.281410, 37.178879, 39.024639
